State,County,NumShootings
TN,Blount County,1
VA,Mecklenburg County,1
CA,Mendocino County,1
GA,Bleckley County,1
OH,Mercer County,1
PA,Mercer County,1
TX,Panola County,1
SC,Orangeburg County,1
NY,Orleans County,1
MI,Osceola County,1
NY,Oswego County,1
NY,Otsego County,1
MI,Ottawa County,1
TN,Overton County,1
IN,Owen County,1
KY,Owsley County,1
ID,Owyhee County,1
ME,Oxford County,1
VA,Page County,1
KY,Bell County,1
VT,Orange County,1
MT,Park County,1
MS,Pearl River County,1
TX,Pecos County,1
MO,Pemiscot County,1
WV,Pendleton County,1
TN,Bedford County,1
OH,Perry County,1
NV,Pershing County,1
MT,Beaverhead County,1
CO,Phillips County,1
MT,Phillips County,1
AL,Pickens County,1
SC,Oconee County,1
OH,Muskingum County,1
NC,Nash County,1
KY,Nelson County,1
MS,Neshoba County,1
SC,Newberry County,1
RI,Newport County,1
MO,Newton County,1
WV,Nicholas County,1
OK,Noble County,1
AK,North Slope County,1
PA,Northampton County,1
OR,Benton County,1
AL,Marion County,1
WI,Oconto County,1
SD,Oglala Lakota County,1
WA,Okanogan County,1
OK,Okfuskee County,1
ND,Benson County,1
KY,Oldham County,1
NY,Oneida County,1
NY,Ontario County,1
MN,Beltrami County,1
OH,Belmont County,1
IN,Orange County,1
NC,Orange County,1
OK,Johnston County,1
IN,Jay County,1
WV,Brooke County,1
IN,Jefferson County,1
MS,Jefferson County,1
OH,Jefferson County,1
WV,Jefferson County,1
IL,Jersey County,1
TX,Jim Wells County,1
IL,Jo Daviess County,1
AR,Johnson County,1
IN,Johnson County,1
KY,Johnson County,1
MO,Johnson County,1
GA,Jasper County,1
NC,Jones County,1
AK,Juneau County,1
MN,Kanabec County,1
TX,Brewster County,1
MD,Kent County,1
TX,Brazos County,1
CO,Kiowa County,1
IN,Knox County,1
TX,Knox County,1
AK,Kusilvak County,1
WI,La Crosse County,1
CO,La Plata County,1
TN,Humphreys County,1
IL,Henry County,1
MO,Henry County,1
VA,Henry County,1
NC,Hertford County,1
TN,Hickman County,1
OK,Bryan County,1
TX,Hockley County,1
KY,Hopkins County,1
TX,Hopkins County,1
TX,Hudspeth County,1
OK,Hughes County,1
IA,Humboldt County,1
KS,Labette County,1
MI,Huron County,1
TX,Hutchinson County,1
LA,Iberville Parish County,1
IA,Iowa County,1
MN,Isanti County,1
WA,Island County,1
MN,Itasca County,1
AL,Jackson County,1
GA,Jackson County,1
KY,Jackson County,1
CO,Broomfield County,1
OH,Jackson County,1
PA,Lycoming County,1
VA,Botetourt County,1
VA,Lexington County,1
AL,Limestone County,1
LA,Lincoln Parish County,1
OK,Lincoln County,1
WI,Lincoln County,1
NY,Livingston County,1
IL,Logan County,1
GA,Long County,1
OH,Lorain County,1
VA,Loudoun County,1
GA,Lumpkin County,1
MT,Lewis and Clark County,1
VA,Lynchburg County,1
TX,Lynn County,1
MI,Mackinac County,1
AL,Macon County,1
KY,Boone County,1
IN,Madison County,1
MS,Madison County,1
TN,Madison County,1
KY,Magoffin County,1
OH,Mahoning County,1
MI,Manistee County,1
AL,Marengo County,1
OK,Latimer County,1
PA,Lackawanna County,1
MO,Laclede County,1
MO,Lafayette County,1
LA,Lafourche Parish County,1
AR,Bradley County,1
OH,Lake County,1
MS,Lamar County,1
TX,Lamb County,1
SC,Lancaster County,1
TX,Bowie County,1
WI,Langlade County,1
KY,Bourbon County,1
GA,Pike County,1
AL,Lauderdale County,1
AL,Lawrence County,1
IN,Lawrence County,1
MO,Lawrence County,1
SD,Lawrence County,1
TN,Lawrence County,1
KS,Leavenworth County,1
AL,Lee County,1
GA,Lee County,1
TX,Lee County,1
NC,Lenoir County,1
TX,Leon County,1
