County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Calhoun County,0.00,100.00,100.00,0.00,0.00,4.70,0.00,61.20,100.00,32.90
Calhoun County,100.00,0.00,100.00,50.00,0.00,4.80,0.00,11.10,100.00,79.00
Callaway County,100.00,0.00,100.00,0.00,0.00,2.00,0.00,4.70,100.00,90.40
Calloway County,0.00,100.00,100.00,0.00,0.00,2.60,0.00,4.10,100.00,89.40
Cambria County,100.00,0.00,100.00,0.00,0.00,1.50,0.00,3.50,100.00,93.10
Camden County,50.00,50.00,50.00,0.00,0.00,6.20,100.00,19.50,0.00,70.00
Camden County,100.00,0.00,100.00,75.00,66.67,15.60,33.33,21.10,0.00,58.30
Cameron County,100.00,0.00,100.00,33.33,100.00,88.70,0.00,0.90,0.00,9.90
Campbell County,100.00,0.00,100.00,50.00,0.00,8.20,0.00,0.90,100.00,87.80
Canadian County,100.00,0.00,100.00,50.00,0.00,8.00,0.00,2.90,100.00,77.70
Canyon County,100.00,0.00,85.71,57.14,14.29,24.60,0.00,0.80,85.71,71.30
Cape Girardeau County,100.00,50.00,100.00,0.00,0.00,2.20,0.00,7.70,100.00,86.60
Carbon County,100.00,0.00,100.00,0.00,0.00,4.10,0.00,1.90,100.00,92.60
Carbon County,100.00,0.00,0.00,0.00,0.00,13.10,100.00,0.80,0.00,83.20
Carbon County,0.00,100.00,100.00,0.00,0.00,17.30,0.00,1.50,0.00,78.10
Caroline County,50.00,50.00,100.00,50.00,0.00,4.20,0.00,28.20,100.00,63.80
Carroll County,100.00,0.00,100.00,25.00,0.00,6.50,25.00,19.10,75.00,71.80
Carroll County,100.00,0.00,100.00,0.00,0.00,3.00,0.00,3.60,100.00,90.20
Carroll County,100.00,0.00,100.00,100.00,0.00,2.40,0.00,10.30,100.00,85.00
Carson City County,100.00,0.00,100.00,75.00,0.00,22.80,0.00,2.20,100.00,68.80
Carson County,100.00,0.00,100.00,100.00,0.00,10.00,0.00,0.90,0.00,86.00
Carter County,0.00,100.00,100.00,0.00,0.00,1.20,0.00,0.70,100.00,96.80
Carter County,100.00,0.00,100.00,50.00,0.00,6.70,0.00,7.10,100.00,71.00
Carter County,100.00,0.00,100.00,50.00,0.00,1.70,0.00,1.60,100.00,95.10
Carver County,100.00,0.00,0.00,50.00,0.00,4.10,0.00,1.60,100.00,89.80
Cascade County,100.00,0.00,100.00,60.00,0.00,4.10,0.00,1.70,80.00,85.90
Cass County,100.00,0.00,100.00,0.00,0.00,13.80,100.00,2.00,0.00,81.80
Cass County,100.00,0.00,100.00,100.00,0.00,1.70,0.00,0.40,100.00,84.10
Cass County,100.00,0.00,100.00,25.00,0.00,4.30,0.00,4.00,100.00,88.70
Cass County,0.00,100.00,100.00,0.00,0.00,2.40,0.00,3.70,100.00,88.50
Cass County,0.00,100.00,100.00,0.00,0.00,3.10,0.00,0.50,100.00,94.30
Cass County,100.00,0.00,100.00,100.00,0.00,4.30,0.00,17.10,100.00,76.50
Catawba County,100.00,25.00,75.00,66.67,0.00,8.90,25.00,8.90,75.00,76.80
Catoosa County,100.00,0.00,100.00,100.00,0.00,2.80,0.00,2.80,100.00,91.40
Cecil County,100.00,33.33,100.00,25.00,0.00,4.10,16.67,6.80,83.33,85.90
Centre County,100.00,0.00,100.00,0.00,0.00,2.90,100.00,3.80,0.00,86.40
Chambers County,100.00,0.00,100.00,100.00,0.00,21.30,0.00,9.00,100.00,67.80
Champaign County,100.00,0.00,0.00,0.00,0.00,5.70,100.00,12.80,0.00,69.10
Charles County,100.00,0.00,100.00,100.00,0.00,5.30,0.00,43.80,0.00,44.50
Charleston County,87.50,12.50,87.50,62.50,0.00,5.10,50.00,28.60,50.00,63.40
Charlevoix County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,0.50,100.00,94.10
Charlotte County,100.00,0.00,100.00,100.00,0.00,6.70,0.00,6.20,100.00,84.70
Charlottesville County,100.00,0.00,100.00,100.00,0.00,4.90,100.00,19.20,0.00,66.10
Chatham County,87.50,12.50,62.50,50.00,0.00,6.00,75.00,40.10,25.00,49.80
Chautauqua County,100.00,0.00,100.00,0.00,0.00,7.00,0.00,2.70,100.00,88.00
Chaves County,100.00,0.00,66.67,100.00,0.00,54.90,0.00,2.50,100.00,40.80
Cheatham County,100.00,0.00,100.00,50.00,0.00,2.70,0.00,1.90,100.00,93.30
Chelan County,100.00,0.00,100.00,0.00,0.00,27.40,0.00,0.80,100.00,68.60
Chemung County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,6.80,100.00,86.50
Cherokee County,100.00,0.00,100.00,100.00,0.00,10.10,0.00,6.60,100.00,80.10
Cherokee County,100.00,0.00,50.00,66.67,0.00,6.60,16.67,1.50,66.67,49.20
Cherokee County,100.00,0.00,100.00,100.00,0.00,4.10,0.00,20.70,100.00,73.20
Cherokee County,0.00,100.00,100.00,0.00,0.00,22.00,0.00,15.00,100.00,61.40
Chesapeake County,100.00,0.00,50.00,100.00,0.00,5.30,100.00,30.10,0.00,58.90
Chester County,100.00,0.00,100.00,0.00,0.00,7.10,100.00,6.40,0.00,80.60
Chester County,100.00,0.00,0.00,100.00,0.00,1.80,50.00,37.00,50.00,59.00
Chesterfield County,100.00,0.00,100.00,100.00,0.00,3.90,0.00,32.50,100.00,61.30
Chesterfield County,100.00,0.00,100.00,100.00,0.00,8.00,0.00,23.30,100.00,63.40
Cheyenne County,100.00,0.00,100.00,0.00,0.00,6.60,0.00,0.40,100.00,89.90
Chickasaw County,100.00,0.00,100.00,100.00,0.00,2.30,100.00,0.60,0.00,96.20
Childress County,100.00,0.00,100.00,100.00,100.00,29.50,0.00,10.10,0.00,58.50
Chilton County,100.00,0.00,50.00,50.00,0.00,7.70,0.00,10.60,100.00,80.30
Chippewa County,100.00,0.00,100.00,0.00,0.00,1.60,0.00,1.60,100.00,94.00
Chisago County,100.00,0.00,100.00,100.00,0.00,1.90,0.00,1.30,100.00,94.00
Chittenden County,66.67,33.33,0.00,33.33,0.00,2.20,0.00,2.40,66.67,89.90
Choctaw County,100.00,0.00,100.00,100.00,0.00,3.70,0.00,11.20,100.00,61.90
Christian County,100.00,0.00,100.00,0.00,0.00,7.60,0.00,21.10,100.00,66.80
Christian County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,0.80,100.00,93.60
Cibola County,50.00,50.00,100.00,50.00,100.00,37.80,0.00,1.40,0.00,20.80
Citrus County,100.00,20.00,100.00,75.00,0.00,5.20,0.00,3.10,100.00,88.70
Clackamas County,90.00,10.00,100.00,70.00,0.00,8.40,12.50,1.00,87.50,83.10
Claiborne Parish County,100.00,0.00,100.00,100.00,0.00,1.40,100.00,50.90,0.00,45.60
Claiborne County,100.00,0.00,100.00,100.00,0.00,1.10,0.00,1.20,0.00,95.70
Clallam County,100.00,0.00,100.00,100.00,0.00,5.80,0.00,1.00,0.00,83.50
Clark County,100.00,0.00,66.67,100.00,0.00,5.20,33.33,7.40,66.67,84.30
Clark County,100.00,0.00,100.00,100.00,0.00,9.80,0.00,0.70,100.00,84.20
Clark County,94.20,7.14,52.86,60.87,31.25,30.30,21.88,11.60,42.19,45.30
Clark County,100.00,0.00,100.00,50.00,0.00,3.10,0.00,9.00,100.00,84.60
Clark County,91.67,15.38,100.00,41.67,18.18,8.70,18.18,2.20,54.55,80.00
Clark County,100.00,0.00,100.00,100.00,0.00,4.20,0.00,0.50,100.00,93.60
Clarke County,85.71,14.29,0.00,28.57,0.00,10.80,0.00,27.70,71.43,56.00
Clatsop County,100.00,0.00,33.33,100.00,0.00,8.10,0.00,0.90,100.00,86.10
Clay County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,0.60,100.00,95.70
Clay County,100.00,0.00,100.00,100.00,0.00,9.20,25.00,10.90,75.00,74.80
Clay County,100.00,0.00,100.00,100.00,0.00,1.30,0.00,0.60,100.00,96.50
Clay County,100.00,0.00,100.00,100.00,0.00,6.60,0.00,6.00,100.00,82.40
Clayton County,100.00,0.00,100.00,100.00,0.00,13.10,66.67,68.30,33.33,13.50
Clear Creek County,100.00,0.00,100.00,100.00,0.00,5.50,0.00,0.90,100.00,90.70
Clearfield County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,3.00,100.00,93.00
Clearwater County,100.00,0.00,100.00,100.00,0.00,3.60,0.00,0.50,100.00,91.30
Cleburne County,100.00,0.00,100.00,100.00,0.00,2.50,0.00,3.60,100.00,92.30
Cleveland County,100.00,0.00,100.00,66.67,33.33,3.10,0.00,20.90,66.67,73.50
Cleveland County,100.00,50.00,100.00,100.00,0.00,7.90,0.00,4.90,100.00,73.40
Clinton County,100.00,0.00,0.00,0.00,0.00,2.90,0.00,3.20,100.00,91.50
Coahoma County,100.00,0.00,100.00,100.00,0.00,1.50,100.00,74.90,0.00,22.60
Coal County,100.00,0.00,100.00,100.00,0.00,3.90,0.00,0.70,100.00,70.70
Cobb County,90.00,40.00,93.33,80.00,8.33,12.70,58.33,27.30,33.33,53.90
Cochise County,100.00,0.00,100.00,33.33,100.00,34.60,0.00,4.70,0.00,56.10
Cochran County,100.00,0.00,100.00,100.00,100.00,57.00,0.00,5.10,0.00,37.30
Cocke County,100.00,0.00,100.00,33.33,0.00,2.20,0.00,2.00,100.00,93.60
Coconino County,81.82,25.00,50.00,63.64,9.09,13.90,0.00,1.60,63.64,54.90
Coffee County,100.00,0.00,100.00,100.00,0.00,10.90,0.00,28.00,100.00,59.40
Coffee County,100.00,0.00,100.00,100.00,0.00,4.00,0.00,3.80,100.00,89.20
Colbert County,100.00,0.00,100.00,100.00,0.00,2.60,33.33,16.30,66.67,78.80
Cole County,100.00,0.00,100.00,33.33,0.00,2.70,0.00,11.80,100.00,82.30
Colfax County,100.00,0.00,100.00,0.00,100.00,49.00,0.00,0.90,0.00,47.50
Colleton County,100.00,0.00,100.00,0.00,0.00,3.10,100.00,38.30,0.00,56.50
Collier County,100.00,0.00,100.00,33.33,66.67,26.70,0.00,7.20,33.33,64.30
Collin County,100.00,14.29,100.00,83.33,20.00,15.10,20.00,9.60,60.00,60.40
Colonial Heights County,100.00,0.00,100.00,100.00,0.00,5.30,100.00,13.90,0.00,75.80
Colquitt County,0.00,100.00,100.00,0.00,100.00,18.30,0.00,23.20,0.00,57.10
Columbia County,100.00,0.00,100.00,0.00,0.00,2.70,100.00,36.20,0.00,59.40
Columbia County,100.00,0.00,100.00,100.00,0.00,6.20,0.00,16.90,0.00,70.50
Columbia County,100.00,0.00,100.00,0.00,0.00,2.60,0.00,2.10,0.00,93.40
Columbia County,100.00,0.00,100.00,100.00,0.00,2.90,0.00,1.50,100.00,93.50
Comanche County,100.00,0.00,100.00,85.71,0.00,12.60,42.86,17.80,57.14,57.20
Contra Costa County,94.44,5.56,66.67,33.33,29.41,25.20,35.29,9.60,29.41,45.60
Converse County,100.00,50.00,100.00,0.00,50.00,7.70,0.00,1.00,50.00,88.70
Cook County,100.00,0.00,100.00,100.00,0.00,6.10,100.00,27.80,0.00,64.40
Cook County,94.44,13.56,83.05,79.63,17.54,25.00,73.68,24.40,8.77,43.00
Cooke County,100.00,0.00,100.00,100.00,0.00,17.00,0.00,3.20,100.00,76.80
Coos County,100.00,0.00,100.00,100.00,0.00,1.70,0.00,0.70,100.00,95.40
Coos County,100.00,0.00,100.00,100.00,0.00,6.00,0.00,0.60,100.00,85.90
Copiah County,100.00,0.00,100.00,100.00,0.00,2.80,100.00,51.40,0.00,44.90
Corson County,0.00,100.00,100.00,0.00,0.00,3.90,0.00,0.20,0.00,31.50
Covington County,100.00,0.00,100.00,100.00,0.00,1.60,0.00,13.00,100.00,83.10
Coweta County,100.00,0.00,0.00,100.00,0.00,6.70,100.00,18.00,0.00,71.90
Cowley County,100.00,0.00,100.00,100.00,0.00,10.20,0.00,3.00,100.00,80.50
Cowlitz County,100.00,0.00,100.00,71.43,16.67,8.40,16.67,0.90,66.67,84.70
Craig County,0.00,100.00,100.00,0.00,0.00,3.20,100.00,3.30,0.00,64.60
Craighead County,100.00,0.00,100.00,66.67,0.00,4.70,0.00,14.50,100.00,78.00
Craven County,100.00,0.00,100.00,100.00,0.00,7.10,0.00,21.70,100.00,66.30
Crawford County,100.00,0.00,100.00,50.00,0.00,6.70,0.00,1.60,100.00,85.60
Crawford County,100.00,0.00,100.00,0.00,0.00,1.40,0.00,0.50,100.00,96.50
Crawford County,100.00,0.00,100.00,100.00,0.00,1.80,0.00,0.50,100.00,95.80
Crawford County,100.00,0.00,100.00,100.00,0.00,1.50,0.00,1.00,100.00,95.90
Creek County,100.00,33.33,100.00,0.00,0.00,3.70,0.00,2.40,100.00,77.30
Crenshaw County,0.00,100.00,100.00,0.00,0.00,1.70,0.00,24.00,100.00,70.60
Crittenden County,100.00,20.00,100.00,25.00,0.00,2.30,80.00,51.80,20.00,44.10
Crockett County,100.00,50.00,50.00,100.00,0.00,9.70,50.00,13.70,50.00,75.20
Cullman County,100.00,0.00,100.00,100.00,0.00,4.40,0.00,1.40,100.00,92.10
Culpeper County,100.00,0.00,100.00,100.00,0.00,9.20,66.67,15.80,33.33,71.40
Cumberland County,100.00,33.33,100.00,50.00,0.00,1.10,0.00,2.80,100.00,94.50
Cumberland County,100.00,0.00,100.00,33.33,0.00,1.90,33.33,2.90,66.67,91.00
Cumberland County,100.00,0.00,88.89,55.56,0.00,11.00,62.50,37.60,37.50,45.20
Cumberland County,66.67,33.33,100.00,50.00,16.67,29.30,66.67,21.90,16.67,47.90
Cumberland County,100.00,0.00,100.00,100.00,0.00,2.70,0.00,0.70,100.00,94.90
Curry County,100.00,0.00,100.00,0.00,100.00,39.70,0.00,7.00,0.00,50.30
Custer County,100.00,0.00,100.00,100.00,0.00,2.60,0.00,0.50,100.00,95.30
Cuyahoga County,88.89,20.00,80.00,77.78,0.00,5.40,63.16,30.30,31.58,60.20
Dade County,100.00,0.00,100.00,0.00,0.00,1.80,0.00,0.50,0.00,94.30
Dakota County,100.00,0.00,33.33,83.33,0.00,6.60,0.00,5.70,66.67,80.50
Dakota County,100.00,0.00,100.00,100.00,100.00,37.40,0.00,4.30,0.00,51.80
