State,County,HispanicPerc
WI,Barron County,2.4
OH,Marion County,2.4
SD,Sanborn County,2.4
KS,Jewell County,2.4
MS,Tunica County,2.4
TN,Carroll County,2.4
AL,Marengo County,2.4
SD,Lake County,2.4
SC,Florence County,2.4
IN,Wabash County,2.4
OH,Tuscarawas County,2.4
KY,Owen County,2.4
SD,Brule County,2.4
SD,Roberts County,2.4
RI,Bristol County,2.4
SD,Davison County,2.4
KY,Pulaski County,2.4
FL,Baker County,2.4
KY,McCreary County,2.4
KY,McCracken County,2.4
ND,Cass County,2.4
PA,Montour County,2.4
IA,Cass County,2.4
KS,Lincoln County,2.4
MT,Fergus County,2.4
WI,Ashland County,2.4
MN,Wilkin County,2.4
NC,Perquimans County,2.3
KY,Henderson County,2.3
MT,Jefferson County,2.3
IA,Chickasaw County,2.3
MT,Carbon County,2.3
AR,Boone County,2.3
MT,Powell County,2.3
KY,Garrard County,2.3
AL,Saint Clair County,2.3
GA,Monroe County,2.3
AL,Talladega County,2.3
LA,Jefferson Davis Parish,2.3
MI,Benzie County,2.3
AR,Crittenden County,2.3
AL,Walker County,2.3
WI,Saint Croix County,2.3
WI,Kewaunee County,2.3
SD,Kingsbury County,2.3
IL,De Witt County,2.3
IA,Shelby County,2.3
IA,Carroll County,2.3
MS,Lafayette County,2.3
ND,Hettinger County,2.3
SD,Jones County,2.3
NE,Seward County,2.3
IL,Jefferson County,2.3
TN,Lauderdale County,2.3
TN,Houston County,2.3
TN,Weakley County,2.3
ND,Renville County,2.3
AR,Marion County,2.3
KS,Marshall County,2.3
NY,Oswego County,2.3
IN,Jennings County,2.3
VA,Poquoson,2.3
SC,Williamsburg County,2.3
LA,East Carroll Parish,2.3
WI,Eau Claire County,2.3
AL,Tallapoosa County,2.3
TN,Henderson County,2.3
GA,Taylor County,2.3
MO,Ray County,2.3
NE,Frontier County,2.3
IL,Morgan County,2.3
IL,Coles County,2.3
NE,Nance County,2.3
IA,Floyd County,2.3
AL,Coosa County,2.3
KS,Cherokee County,2.3
KS,Linn County,2.3
KY,Madison County,2.3
MT,Blaine County,2.3
KS,Bourbon County,2.3
IA,Guthrie County,2.3
MO,Saint Clair County,2.3
SD,Lyman County,2.3
TN,Henry County,2.3
GA,Johnson County,2.2
MO,Laclede County,2.2
TN,Benton County,2.2
AL,Pike County,2.2
MO,Pike County,2.2
IL,Sangamon County,2.2
NE,Valley County,2.2
NE,Thayer County,2.2
NY,Warren County,2.2
MO,Texas County,2.2
SD,Spink County,2.2
AK,Wrangell City and Borough,2.2
LA,Acadia Parish,2.2
SD,Turner County,2.2
NY,Yates County,2.2
IL,Tazewell County,2.2
KY,Taylor County,2.2
NY,Saint Lawrence County,2.2
MT,Sheridan County,2.2
MT,Valley County,2.2
MO,Scott County,2.2
PA,Snyder County,2.2
GA,Washington County,2.2
NE,Saunders County,2.2
NH,Strafford County,2.2
LA,Ouachita Parish,2.2
MI,Livingston County,2.2
MO,Pemiscot County,2.2
GA,Meriwether County,2.2
VA,Amherst County,2.2
SD,Bon Homme County,2.2
LA,Natchitoches Parish,2.2
MO,Harrison County,2.2
AR,Cleveland County,2.2
MO,Lincoln County,2.2
AR,Monroe County,2.2
MO,Cape Girardeau County,2.2
TN,Bledsoe County,2.2
TN,Lewis County,2.2
VA,Campbell County,2.2
MO,Andrew County,2.2
VA,Middlesex County,2.2
IA,Dubuque County,2.2
AL,Lawrence County,2.2
MS,Lauderdale County,2.2
ND,Benson County,2.2
GA,Lamar County,2.2
GA,Early County,2.2
VT,Addison County,2.2
MS,George County,2.2
TN,Perry County,2.2
NE,Greeley County,2.2
IA,Fayette County,2.2
TN,Cocke County,2.2
MO,Bates County,2.2
MT,Chouteau County,2.2
NE,Loup County,2.2
MS,Bolivar County,2.2
NH,Grafton County,2.2
VT,Chittenden County,2.2
IL,Crawford County,2.2
AR,Ouachita County,2.2
TN,Hickman County,2.1
MT,Granite County,2.1
IL,Alexander County,2.1
NY,Chenango County,2.1
VA,Madison County,2.1
MO,Clinton County,2.1
LA,Allen Parish,2.1
AK,Northwest Arctic Borough,2.1
SD,Miner County,2.1
VT,Windham County,2.1
MS,Covington County,2.1
GA,Worth County,2.1
MT,Prairie County,2.1
GA,Talbot County,2.1
OH,Fairfield County,2.1
GA,Randolph County,2.1
NE,Logan County,2.1
ND,Stutsman County,2.1
AL,Escambia County,2.1
VA,Buckingham County,2.1
TN,Giles County,2.1
SC,Lee County,2.1
MO,Madison County,2.1
GA,Baldwin County,2.1
KY,Nicholas County,2.1
ND,Burke County,2.1
VA,Brunswick County,2.1
IA,Winneshiek County,2.1
VA,Greensville County,2.1
KY,Nelson County,2.1
IL,Macon County,2.1
MO,Polk County,2.1
VA,Mathews County,2.1
AR,Searcy County,2.1
MI,Hillsdale County,2.1
TN,White County,2.1
SD,Harding County,2.1
NE,Harlan County,2.1
MI,Iosco County,2.1
KY,Harrison County,2.1
WI,Sawyer County,2.1
AR,Sharp County,2.1
LA,Richland Parish,2.1
NE,Rock County,2.1
IA,Palo Alto County,2.1
MO,Henry County,2.1
IN,Delaware County,2.1
NY,Herkimer County,2.1
ND,McIntosh County,2.1
MO,Perry County,2.1
GA,Dade County,2.1
MO,Cedar County,2.1
LA,Washington Parish,2.1
MI,Mecosta County,2.1
IN,Huntington County,2.1
AL,Bibb County,2.1
NE,Gage County,2.1
SC,Orangeburg County,2.1
MT,Phillips County,2.1
MI,Huron County,2.1
IL,Mercer County,2.1
ND,McLean County,2.1
SD,Day County,2.1
IN,Hancock County,2.1
GA,Brantley County,2.1
PA,McKean County,2.1
MT,Powder River County,2
MS,Neshoba County,2
GA,McIntosh County,2
WV,Monongalia County,2
MO,Stone County,2
NE,Boyd County,2
NY,Cattaraugus County,2
NC,Gates County,2
GA,Walker County,2
GA,Miller County,2
ND,Bottineau County,2
MO,Mississippi County,2
IA,Ringgold County,2
KS,Mitchell County,2
WI,Forest County,2
TN,McNairy County,2
MN,Benton County,2
VA,Bedford County,2
MO,Vernon County,2
IN,Whitley County,2
IA,Monona County,2
KY,Clay County,2
MN,Beltrami County,2
KS,Decatur County,2
IA,Kossuth County,2
MI,Antrim County,2
KS,Trego County,2
MO,Caldwell County,2
IA,Calhoun County,2
MO,Callaway County,2
MN,Kittson County,2
TN,Hardin County,2
AL,Chambers County,2
MT,Sweet Grass County,2
MO,DeKalb County,2
IA,Ida County,2
SD,Hutchinson County,2
SC,Darlington County,2
KY,Simpson County,2
MT,Daniels County,2
AK,Yukon-Koyukuk Census Area,2
TN,Humphreys County,2
MO,Howell County,2
AR,Lafayette County,2
NY,Madison County,2
AR,Baxter County,2
PA,Lycoming County,2
GA,Fannin County,2
ND,Nelson County,2
AK,Nome Census Area,2
NC,Northampton County,2
MO,Grundy County,2
MS,Warren County,2
MI,Ogemaw County,2
MS,Attala County,2
VA,Powhatan County,2
TN,Lake County,2
MN,Lac qui Parle County,2
LA,St. Landry Parish,1.9
IA,Jasper County,1.9
TN,Jackson County,1.9
MO,Carter County,1.9
TN,Lawrence County,1.9
ND,Burleigh County,1.9
WI,Buffalo County,1.9
MI,Clare County,1.9
ME,Cumberland County,1.9
MO,Randolph County,1.9
WI,Vilas County,1.9
LA,Winn Parish,1.9
SC,Fairfield County,1.9
MI,Arenac County,1.9
AR,Randolph County,1.9
VA,Halifax County,1.9
IL,Pope County,1.9
WI,Pierce County,1.9
SD,Potter County,1.9
IL,Gallatin County,1.9
SD,Codington County,1.9
WI,Langlade County,1.9
MS,Lawrence County,1.9
OH,Summit County,1.9
IL,Pulaski County,1.9
ND,Ransom County,1.9
IA,Mahaska County,1.9
MN,Lincoln County,1.9
IN,Putnam County,1.9
MO,Linn County,1.9
MO,Webster County,1.9
AR,Izard County,1.9
MN,Grant County,1.9
KY,Adair County,1.9
OH,Medina County,1.9
AR,Cross County,1.9
LA,Tensas Parish,1.9
NE,Sherman County,1.9
PA,Allegheny County,1.9
MO,Morgan County,1.9
NE,Franklin County,1.9
KY,Allen County,1.9
VA,Page County,1.9
AR,Jefferson County,1.9
MI,Kalkaska County,1.9
TN,Clay County,1.9
VT,Washington County,1.9
NE,Richardson County,1.9
MN,Traverse County,1.9
OH,Fayette County,1.9
TN,Moore County,1.9
SC,Bamberg County,1.9
MS,Lowndes County,1.9
IA,Marion County,1.9
MN,Chisago County,1.9
MN,Cook County,1.9
IL,Effingham County,1.9
MO,Miller County,1.9
NH,Merrimack County,1.9
OH,Stark County,1.9
IA,Clayton County,1.9
GA,Twiggs County,1.9
PA,Sullivan County,1.8
MI,Chippewa County,1.8
ND,Billings County,1.8
VA,Smyth County,1.8
VT,Bennington County,1.8
IL,Marion County,1.8
TN,Johnson County,1.8
LA,Webster Parish,1.8
AR,Newton County,1.8
LA,Avoyelles Parish,1.8
SC,Chester County,1.8
MN,Mille Lacs County,1.8
IL,Schuyler County,1.8
WI,Dunn County,1.8
IN,Scott County,1.8
IN,Knox County,1.8
KY,Campbell County,1.8
MI,Crawford County,1.8
TN,Cannon County,1.8
MS,Walthall County,1.8
IN,Harrison County,1.8
MO,Crawford County,1.8
MO,Shannon County,1.8
MO,Jefferson County,1.8
ME,Washington County,1.8
KY,Spencer County,1.8
IN,Decatur County,1.8
MN,Isanti County,1.8
MT,Meagher County,1.8
PA,Huntingdon County,1.8
KY,Union County,1.8
IA,Cedar County,1.8
KY,Hopkins County,1.8
VA,Bath County,1.8
MI,Wexford County,1.8
WV,Summers County,1.8
AL,Conecuh County,1.8
SD,Walworth County,1.8
SD,Lincoln County,1.8
AR,Clay County,1.8
IN,Sullivan County,1.8
PA,Wyoming County,1.8
OH,Mercer County,1.8
MS,Panola County,1.8
NE,Pawnee County,1.8
AR,Stone County,1.8
MI,Charlevoix County,1.8
AK,Bethel Census Area,1.8
OH,Athens County,1.8
MT,Pondera County,1.8
VT,Grand Isle County,1.8
MO,Livingston County,1.8
KS,Osborne County,1.8
WI,Iowa County,1.8
MO,Benton County,1.8
MN,Hubbard County,1.8
PA,Susquehanna County,1.8
MO,Dallas County,1.8
VA,Lee County,1.8
IL,Woodford County,1.8
TN,Wayne County,1.8
MN,Becker County,1.8
OH,Wayne County,1.8
MO,Dade County,1.8
WI,Taylor County,1.8
NY,Tioga County,1.7
KS,Smith County,1.7
OH,Clermont County,1.7
IL,Saline County,1.7
GA,Hancock County,1.7
IN,Warrick County,1.7
WI,Polk County,1.7
MT,Judith Basin County,1.7
LA,Madison Parish,1.7
TN,Polk County,1.7
OH,Richland County,1.7
MT,Fallon County,1.7
OH,Madison County,1.7
MS,Sharkey County,1.7
NC,Bertie County,1.7
KY,Hart County,1.7
VA,Bristol,1.7
IA,Dickinson County,1.7
TN,Carter County,1.7
MI,Menominee County,1.7
MN,Cass County,1.7
MO,Iron County,1.7
MI,Iron County,1.7
AL,Crenshaw County,1.7
TN,Roane County,1.7
MO,Franklin County,1.7
IA,Adair County,1.7
NE,Thomas County,1.7
NH,Cheshire County,1.7
MN,Wadena County,1.7
WI,La Crosse County,1.7
TN,Sullivan County,1.7
IL,Montgomery County,1.7
NY,Schuyler County,1.7
WI,Oconto County,1.7
IN,Switzerland County,1.7
MS,Newton County,1.7
KY,Trigg County,1.7
KS,Nemaha County,1.7
NE,Boone County,1.7
SD,Tripp County,1.7
GA,Screven County,1.7
WI,Rusk County,1.7
TN,Marion County,1.7
PA,Perry County,1.7
TN,Meigs County,1.7
NY,Lewis County,1.7
MO,Butler County,1.7
KY,Bullitt County,1.7
OH,Licking County,1.7
ME,York County,1.7
NH,Coos County,1.7
IN,Ripley County,1.7
MS,Stone County,1.7
MS,Oktibbeha County,1.7
MO,Stoddard County,1.7
AR,Phillips County,1.7
VA,Surry County,1.7
VA,Charles City County,1.7
IA,Wayne County,1.7
ME,Androscoggin County,1.7
MN,Carlton County,1.7
IL,Fayette County,1.7
MO,Wright County,1.7
MS,Yalobusha County,1.7
KS,Anderson County,1.7
MO,Ozark County,1.7
MN,Kanabec County,1.7
LA,St. James Parish,1.7
MT,Wheatland County,1.7
MO,New Madrid County,1.6
SD,McPherson County,1.6
VA,Giles County,1.6
NY,Steuben County,1.6
SD,Hyde County,1.6
IL,Hardin County,1.6
OH,Clinton County,1.6
WI,Chippewa County,1.6
NE,Pierce County,1.6
TN,Hardeman County,1.6
IN,Gibson County,1.6
MI,Emmet County,1.6
MS,Hinds County,1.6
OH,Trumbull County,1.6
IN,Henry County,1.6
WI,Vernon County,1.6
MO,Cooper County,1.6
SD,Edmunds County,1.6
WI,Washburn County,1.6
IL,Christian County,1.6
IL,Franklin County,1.6
AL,Covington County,1.6
LA,St. Helena Parish,1.6
MN,Clearwater County,1.6
LA,West Feliciana Parish,1.6
MO,Shelby County,1.6
LA,Bienville Parish,1.6
VA,Rockbridge County,1.6
NY,Allegany County,1.6
IA,Jones County,1.6
WI,Price County,1.6
IA,Keokuk County,1.6
KY,Bracken County,1.6
MO,Marion County,1.6
ND,Barnes County,1.6
MI,Mackinac County,1.6
KY,Lyon County,1.6
IN,Brown County,1.6
OH,Portage County,1.6
MI,Osceola County,1.6
WI,Burnett County,1.6
VT,Lamoille County,1.6
VA,Lancaster County,1.6
IL,Monroe County,1.6
LA,Red River Parish,1.6
OH,Shelby County,1.6
NH,Belknap County,1.6
KY,Metcalfe County,1.6
IL,Washington County,1.6
MS,Simpson County,1.6
MO,Montgomery County,1.6
GA,Pike County,1.6
IL,Hamilton County,1.6
KY,Boyd County,1.6
WV,Harrison County,1.6
IN,Lawrence County,1.6
IN,Blackford County,1.6
NE,McPherson County,1.6
ND,Rolette County,1.6
MO,Lewis County,1.6
MD,Allegany County,1.6
WI,Bayfield County,1.5
WV,Raleigh County,1.5
IA,Appanoose County,1.5
MS,Sunflower County,1.5
MN,Morrison County,1.5
KY,Rowan County,1.5
WI,Lincoln County,1.5
AL,Macon County,1.5
KY,Livingston County,1.5
NE,Grant County,1.5
KY,Lincoln County,1.5
KS,Republic County,1.5
IL,Richland County,1.5
IL,Wabash County,1.5
KY,Fulton County,1.5
KY,Mason County,1.5
VA,Botetourt County,1.5
MO,Nodaway County,1.5
IL,Clay County,1.5
OH,Miami County,1.5
MO,Reynolds County,1.5
IA,Madison County,1.5
MI,Roscommon County,1.5
AR,Woodruff County,1.5
OH,Columbiana County,1.5
MI,Marquette County,1.5
PA,Bradford County,1.5
GA,Glascock County,1.5
WI,Marinette County,1.5
OH,Auglaize County,1.5
PA,Washington County,1.5
WV,Pocahontas County,1.5
TN,Union County,1.5
KY,Caldwell County,1.5
OH,Union County,1.5
AL,Cherokee County,1.5
VT,Caledonia County,1.5
SD,Perkins County,1.5
PA,Cambria County,1.5
OH,Hardin County,1.5
GA,Jones County,1.5
MI,Otsego County,1.5
MO,Daviess County,1.5
OH,Darke County,1.5
IL,Henderson County,1.5
LA,Jackson Parish,1.5
MI,Alcona County,1.5
TN,Pickett County,1.5
NE,Cedar County,1.5
VA,Highland County,1.5
MS,Smith County,1.5
MN,Lake of the Woods County,1.5
KY,Anderson County,1.5
SD,Haakon County,1.5
ME,Sagadahoc County,1.5
ME,Kennebec County,1.5
MN,Lake County,1.5
MN,Saint Louis County,1.5
MS,Coahoma County,1.5
OH,Crawford County,1.5
OH,Champaign County,1.5
IL,Hancock County,1.5
VA,Pulaski County,1.5
MS,Wayne County,1.5
NH,Sullivan County,1.5
OH,Knox County,1.4
MO,Howard County,1.4
TN,Hawkins County,1.4
IA,Buchanan County,1.4
AL,Lamar County,1.4
IL,Menard County,1.4
MN,Douglas County,1.4
MS,Itawamba County,1.4
LA,Franklin Parish,1.4
IN,Washington County,1.4
ME,Piscataquis County,1.4
KY,Muhlenberg County,1.4
SD,Gregory County,1.4
MI,Oscoda County,1.4
IN,Union County,1.4
PA,Somerset County,1.4
PA,Beaver County,1.4
PA,Clinton County,1.4
VT,Windsor County,1.4
AL,Washington County,1.4
MI,Baraga County,1.4
ND,Pierce County,1.4
OH,Morrow County,1.4
GA,Quitman County,1.4
MO,Saint Francois County,1.4
MS,Marion County,1.4
MO,Oregon County,1.4
KY,Grayson County,1.4
WI,Douglas County,1.4
WI,Oneida County,1.4
MO,Dent County,1.4
WI,Grant County,1.4
KY,Hancock County,1.4
NY,Hamilton County,1.4
MI,Cheboygan County,1.4
IL,Clark County,1.4
MI,Houghton County,1.4
MO,Putnam County,1.4
MI,Dickinson County,1.4
OH,Logan County,1.4
VA,Alleghany County,1.4
OH,Geauga County,1.4
MO,Gasconade County,1.4
VA,Washington County,1.4
IN,Crawford County,1.4
IA,Harrison County,1.4
OH,Jefferson County,1.4
NH,Carroll County,1.4
MT,McCone County,1.4
MS,Clay County,1.4
IL,Adams County,1.4
WI,Pepin County,1.4
IN,Rush County,1.4
LA,East Feliciana Parish,1.4
MN,Crow Wing County,1.4
GA,Haralson County,1.4
KY,Green County,1.4
WV,Greenbrier County,1.4
MI,Luce County,1.4
PA,Greene County,1.4
IN,Warren County,1.4
AL,Fayette County,1.4
MO,Wayne County,1.4
WV,Cabell County,1.4
KY,Laurel County,1.4
SD,Campbell County,1.4
SD,Stanley County,1.4
IL,Jasper County,1.4
MO,Hickory County,1.4
PA,Indiana County,1.4
IA,Howard County,1.4
NE,Hooker County,1.4
IA,Bremer County,1.4
LA,Claiborne Parish,1.4
IN,Morgan County,1.4
VT,Franklin County,1.4
MT,Teton County,1.4
KY,Marshall County,1.4
MS,Carroll County,1.3
ME,Hancock County,1.3
MN,Koochiching County,1.3
ND,Steele County,1.3
MO,Carroll County,1.3
MS,Perry County,1.3
MI,Alpena County,1.3
MS,Washington County,1.3
ND,Sheridan County,1.3
TN,Van Buren County,1.3
LA,Catahoula Parish,1.3
KY,Bath County,1.3
GA,Lincoln County,1.3
KY,Powell County,1.3
VT,Orleans County,1.3
MS,Webster County,1.3
KY,Breckinridge County,1.3
IN,Clay County,1.3
IN,Owen County,1.3
WV,Hampshire County,1.3
IA,Van Buren County,1.3
KY,Ballard County,1.3
AL,Clarke County,1.3
MI,Alger County,1.3
IL,Wayne County,1.3
PA,Butler County,1.3
MO,Washington County,1.3
MS,Choctaw County,1.3
MO,Atchison County,1.3
IA,Benton County,1.3
MO,Worth County,1.3
AL,Hale County,1.3
IL,White County,1.3
IN,Greene County,1.3
MN,Itasca County,1.3
VT,Orange County,1.3
IN,Orange County,1.3
KY,Fleming County,1.3
IA,Jackson County,1.3
VT,Rutland County,1.3
IL,Jersey County,1.3
MS,Prentiss County,1.3
SD,Douglas County,1.3
IL,Moultrie County,1.3
VT,Essex County,1.3
MI,Montmorency County,1.3
KY,McLean County,1.3
PA,Tioga County,1.3
VA,Scott County,1.3
TN,Fentress County,1.3
WV,Grant County,1.3
IA,Lucas County,1.3
PA,Mifflin County,1.3
AR,Lawrence County,1.3
MI,Gladwin County,1.3
IN,Pike County,1.3
MS,Pike County,1.3
PA,Mercer County,1.3
NE,Garfield County,1.3
OH,Pickaway County,1.3
IN,Perry County,1.3
AL,Perry County,1.3
ME,Penobscot County,1.3
VA,Southampton County,1.3
IN,Parke County,1.3
MO,Macon County,1.3
TN,Overton County,1.3
PA,Fulton County,1.2
ME,Franklin County,1.2
MO,Ripley County,1.2
SC,McCormick County,1.2
ME,Knox County,1.2
MS,Winston County,1.2
NE,Brown County,1.2
OH,Scioto County,1.2
MO,Monroe County,1.2
IL,Pike County,1.2
IA,Davis County,1.2
WV,Morgan County,1.2
ND,Adams County,1.2
IA,Mitchell County,1.2
VA,Appomattox County,1.2
ME,Oxford County,1.2
MT,Carter County,1.2
AL,Butler County,1.2
SD,Hand County,1.2
IL,Scott County,1.2
KY,Hickman County,1.2
KY,Carter County,1.2
OH,Carroll County,1.2
WV,Hancock County,1.2
MS,Jasper County,1.2
MS,Jefferson Davis County,1.2
TN,Campbell County,1.2
VA,Wise County,1.2
SC,Abbeville County,1.2
MN,Aitkin County,1.2
MT,Petroleum County,1.2
KY,Pendleton County,1.2
MN,Pope County,1.2
OH,Ashland County,1.2
AR,Prairie County,1.2
IN,Ohio County,1.2
MI,Presque Isle County,1.2
MO,Knox County,1.2
TN,Morgan County,1.2
MO,Ralls County,1.2
LA,Morehouse Parish,1.2
MS,Montgomery County,1.2
AL,Monroe County,1.2
PA,Blair County,1.2
WV,Marion County,1.2
AL,Lowndes County,1.2
PA,Lawrence County,1.2
IN,Dearborn County,1.2
MI,Gogebic County,1.2
IL,Edwards County,1.2
LA,Concordia Parish,1.2
MS,Claiborne County,1.2
MT,Garfield County,1.2
OH,Gallia County,1.2
MN,Fillmore County,1.2
MO,Douglas County,1.2
AR,Fulton County,1.2
MS,Grenada County,1.2
WV,Upshur County,1.2
SC,Union County,1.2
IA,Grundy County,1.2
ND,Foster County,1.2
PA,Crawford County,1.2
IA,Adams County,1.1
MI,Delta County,1.1
IN,Posey County,1.1
WV,Kanawha County,1.1
AK,Wade Hampton Census Area,1.1
MO,Schuyler County,1.1
IL,Piatt County,1.1
ND,LaMoure County,1.1
MS,Noxubee County,1.1
MS,Clarke County,1.1
ND,Emmons County,1.1
MN,Big Stone County,1.1
KY,Lee County,1.1
IA,Audubon County,1.1
KY,Cumberland County,1.1
KY,Knox County,1.1
WV,Putnam County,1.1
PA,Fayette County,1.1
IA,Delaware County,1.1
OH,Ross County,1.1
MN,Roseau County,1.1
IL,Mason County,1.1
MO,Maries County,1.1
VA,Russell County,1.1
MS,Monroe County,1.1
PA,Bedford County,1.1
WI,Crawford County,1.1
MS,Lincoln County,1.1
PA,Westmoreland County,1.1
IN,Franklin County,1.1
IN,Vermillion County,1.1
ME,Waldo County,1.1
WV,Fayette County,1.1
PA,Venango County,1.1
SD,Faulk County,1.1
IL,Stark County,1.1
KY,Greenup County,1.1
GA,Warren County,1.1
VA,Wythe County,1.1
ND,Cavalier County,1.1
WV,Pendleton County,1.1
AL,Sumter County,1.1
OH,Washington County,1.1
PA,Potter County,1.1
HI,Kalawao County,1.1
WV,Calhoun County,1.1
IL,Calhoun County,1.1
WV,Ohio County,1.1
TN,Grundy County,1.1
TN,Claiborne County,1.1
MI,Ontonagon County,1.1
ME,Aroostook County,1.1
ND,Wells County,1.1
GA,Clay County,1.1
IA,Butler County,1.1
KY,Bell County,1
WV,Marshall County,1
MO,Gentry County,1
MD,Garrett County,1
ME,Somerset County,1
MO,Mercer County,1
KY,Robertson County,1
MO,Holt County,1
WV,Mercer County,1
VA,Craig County,1
KY,Whitley County,1
KY,Owsley County,1
AL,Wilcox County,1
WI,Florence County,1
MS,Amite County,1
MO,Ste. Genevieve County,1
KY,Menifee County,1
MO,Chariton County,1
OH,Guernsey County,1
WV,Lewis County,1
KY,Elliott County,1
MI,Keweenaw County,1
IL,Cumberland County,1
ND,Grant County,1
WV,Wood County,1
OH,Muskingum County,1
WI,Iron County,1
ME,Lincoln County,1
AL,Dallas County,1
KY,Edmonson County,1
IL,Macoupin County,1
MS,Greene County,1
OH,Jackson County,1
IL,Edgar County,1
IL,Shelby County,1
MS,Quitman County,1
IL,Greene County,1
AL,Greene County,1
OH,Coshocton County,0.9
OH,Lawrence County,0.9
KY,Estill County,0.9
WV,Mineral County,0.9
VA,Dickenson County,0.9
OH,Belmont County,0.9
WV,Preston County,0.9
NE,Wheeler County,0.9
MO,Scotland County,0.9
MI,Schoolcraft County,0.9
MS,Holmes County,0.9
OH,Holmes County,0.9
WV,Logan County,0.9
WV,Roane County,0.9
PA,Warren County,0.9
OH,Hocking County,0.9
MS,Issaquena County,0.9
WV,Pleasants County,0.9
ND,Logan County,0.9
IN,Fayette County,0.9
OH,Highland County,0.9
KY,Crittenden County,0.9
WV,Taylor County,0.9
VA,Tazewell County,0.9
MO,Bollinger County,0.9
OH,Pike County,0.9
KY,Morgan County,0.8
KY,Breathitt County,0.8
PA,Jefferson County,0.8
WV,Barbour County,0.8
MS,Kemper County,0.8
ND,Towner County,0.8
PA,Elk County,0.8
KY,Knott County,0.8
WV,Brooke County,0.8
OH,Adams County,0.8
MS,Franklin County,0.8
KY,Perry County,0.8
KY,Rockcastle County,0.8
KY,Harlan County,0.8
OH,Harrison County,0.8
WV,Tucker County,0.8
ND,Griggs County,0.8
WV,Monroe County,0.8
WV,Randolph County,0.8
OH,Brown County,0.8
AL,Choctaw County,0.8
WV,Jackson County,0.8
MN,Houston County,0.8
SD,Hanson County,0.8
MO,Clark County,0.8
OH,Perry County,0.8
IN,Martin County,0.8
KY,Magoffin County,0.8
KY,Pike County,0.8
OH,Morgan County,0.8
KY,Wolfe County,0.7
WV,Wirt County,0.7
WV,Ritchie County,0.7
OH,Vinton County,0.7
KY,Floyd County,0.7
WV,Doddridge County,0.7
WV,Wetzel County,0.7
WV,Lincoln County,0.7
KY,Lawrence County,0.7
KY,Jackson County,0.7
TN,Scott County,0.7
PA,Clarion County,0.7
WV,Nicholas County,0.7
OH,Preble County,0.7
WV,Tyler County,0.7
WV,Wayne County,0.7
PA,Cameron County,0.7
KY,Johnson County,0.7
KY,Lewis County,0.7
PA,Armstrong County,0.7
MT,Liberty County,0.7
WV,Braxton County,0.7
MO,Osage County,0.7
KY,Letcher County,0.7
MS,Wilkinson County,0.7
VA,Bland County,0.7
NE,Keya Paha County,0.6
WV,McDowell County,0.6
WV,Mason County,0.6
OH,Noble County,0.6
WV,Mingo County,0.6
WV,Webster County,0.6
VA,Buchanan County,0.6
WV,Wyoming County,0.5
OH,Monroe County,0.5
OH,Meigs County,0.5
WV,Clay County,0.5
WV,Boone County,0.5
MS,Jefferson County,0.5
KY,Leslie County,0.4
TN,Hancock County,0.4
NE,Blaine County,0.2
