County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Tom Green County,100.00,0.00,100.00,80.00,60.00,38.10,0.00,4.60,40.00,55.10
Travis County,93.10,6.90,82.76,68.97,32.14,33.90,14.29,8.90,50.00,49.70
Trinity County,0.00,100.00,100.00,0.00,0.00,9.20,0.00,9.80,100.00,78.70
Unknown County,75.00,25.00,87.50,62.50,57.14,9.20,14.29,9.80,28.57,78.70
Upshur County,100.00,0.00,0.00,100.00,0.00,7.90,0.00,8.50,100.00,80.80
Val Verde County,0.00,100.00,100.00,0.00,100.00,80.40,0.00,2.00,0.00,16.80
Victoria County,100.00,0.00,0.00,0.00,0.00,45.30,0.00,6.90,100.00,46.20
Walker County,100.00,0.00,100.00,0.00,0.00,17.80,0.00,23.10,0.00,57.10
Waller County,100.00,0.00,100.00,100.00,0.00,29.80,50.00,25.60,50.00,43.30
Ward County,100.00,50.00,100.00,100.00,0.00,51.50,100.00,4.90,0.00,42.20
Webb County,83.33,28.57,100.00,33.33,83.33,95.20,0.00,0.70,16.67,3.70
Wichita County,100.00,0.00,100.00,50.00,50.00,18.30,50.00,10.90,0.00,66.60
Wilbarger County,100.00,0.00,100.00,0.00,0.00,28.70,0.00,8.70,0.00,59.90
Williamson County,100.00,0.00,100.00,100.00,0.00,23.90,0.00,6.80,100.00,61.70
Wilson County,0.00,100.00,100.00,0.00,0.00,38.60,0.00,1.70,100.00,58.20
Winkler County,0.00,100.00,100.00,0.00,100.00,58.20,0.00,3.00,0.00,38.20
Wood County,100.00,0.00,100.00,100.00,0.00,9.60,0.00,5.00,100.00,83.30
