County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Caldwell County,1,100.00,0.00,100.00,0.00,0.00,0.00,7.00,42.00,49.80,1.50,1.00
Calhoun County,8,100.00,14.29,14.29,71.43,0.00,0.00,21.10,72.90,3.50,0.50,0.90
Calhoun County,1,0.00,0.00,0.00,100.00,0.00,0.00,61.20,32.90,4.70,0.60,0.60
Calhoun County,2,100.00,0.00,0.00,100.00,0.00,0.00,11.10,79.00,4.80,0.80,2.00
Callaway County,1,100.00,0.00,0.00,100.00,0.00,0.00,4.70,90.40,2.00,0.50,0.90
Calloway County,1,0.00,0.00,0.00,100.00,0.00,0.00,4.10,89.40,2.60,0.30,2.30
Cambria County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.50,93.10,1.50,0.10,0.60
Camden County,2,50.00,100.00,0.00,0.00,0.00,0.00,19.50,70.00,6.20,0.70,1.70
Camden County,4,100.00,33.33,66.67,0.00,0.00,0.00,21.10,58.30,15.60,0.60,5.80
Cameron County,6,100.00,0.00,100.00,0.00,0.00,0.00,0.90,9.90,88.70,0.60,0.80
Campbell County,2,100.00,0.00,0.00,100.00,0.00,0.00,0.90,87.80,8.20,1.50,0.60
Canadian County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.90,77.70,8.00,5.00,3.30
Canyon County,7,100.00,0.00,14.29,85.71,0.00,0.00,0.80,71.30,24.60,1.70,1.00
Cape Girardeau County,2,100.00,0.00,0.00,100.00,0.00,0.00,7.70,86.60,2.20,0.40,1.50
Carbon County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.90,92.60,4.10,0.30,0.50
Carbon County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.80,83.20,13.10,1.60,0.70
Carbon County,1,0.00,0.00,0.00,0.00,0.00,0.00,1.50,78.10,17.30,1.70,1.00
Caroline County,2,50.00,0.00,0.00,100.00,0.00,0.00,28.20,63.80,4.20,0.80,0.90
Carroll County,4,100.00,25.00,0.00,75.00,0.00,0.00,19.10,71.80,6.50,0.50,1.00
Carroll County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,90.20,3.00,0.20,1.70
Carroll County,1,100.00,0.00,0.00,100.00,0.00,0.00,10.30,85.00,2.40,0.50,0.30
Carson City County,4,100.00,0.00,0.00,100.00,0.00,0.00,2.20,68.80,22.80,2.70,2.30
Carson County,1,100.00,0.00,0.00,0.00,0.00,100.00,0.90,86.00,10.00,1.40,0.50
Carter County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.70,96.80,1.20,0.30,0.20
Carter County,2,100.00,0.00,0.00,100.00,0.00,0.00,7.10,71.00,6.70,9.50,1.10
Carter County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.60,95.10,1.70,0.30,0.40
Carver County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.60,89.80,4.10,0.30,3.00
Cascade County,5,100.00,0.00,0.00,80.00,20.00,0.00,1.70,85.90,4.10,4.60,1.00
Cass County,1,100.00,100.00,0.00,0.00,0.00,0.00,2.00,81.80,13.80,1.00,1.70
Cass County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,84.10,1.70,12.00,0.40
Cass County,4,100.00,0.00,0.00,100.00,0.00,0.00,4.00,88.70,4.30,0.70,0.80
Cass County,1,0.00,0.00,0.00,100.00,0.00,0.00,3.70,88.50,2.40,1.30,2.60
Cass County,1,0.00,0.00,0.00,100.00,0.00,0.00,0.50,94.30,3.10,0.50,0.50
Cass County,1,100.00,0.00,0.00,100.00,0.00,0.00,17.10,76.50,4.30,0.70,0.40
Catawba County,4,100.00,25.00,0.00,75.00,0.00,0.00,8.90,76.80,8.90,0.50,4.10
Catoosa County,2,100.00,0.00,0.00,100.00,0.00,0.00,2.80,91.40,2.80,0.40,1.40
Cecil County,6,100.00,16.67,0.00,83.33,0.00,0.00,6.80,85.90,4.10,0.40,1.30
Centre County,1,100.00,100.00,0.00,0.00,0.00,0.00,3.80,86.40,2.90,0.20,5.60
Chambers County,1,100.00,0.00,0.00,100.00,0.00,0.00,9.00,67.80,21.30,1.10,1.30
Champaign County,1,100.00,100.00,0.00,0.00,0.00,0.00,12.80,69.10,5.70,0.30,10.20
Charles County,1,100.00,0.00,0.00,0.00,0.00,100.00,43.80,44.50,5.30,0.80,3.30
Charleston County,8,87.50,50.00,0.00,50.00,0.00,0.00,28.60,63.40,5.10,0.40,1.60
Charlevoix County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,94.10,1.80,1.60,0.50
Charlotte County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.20,84.70,6.70,0.30,1.40
Charlottesville County,1,100.00,100.00,0.00,0.00,0.00,0.00,19.20,66.10,4.90,0.40,7.10
Chatham County,8,87.50,75.00,0.00,25.00,0.00,0.00,40.10,49.80,6.00,0.30,2.80
Chautauqua County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.70,88.00,7.00,0.70,0.70
Chaves County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.50,40.80,54.90,2.20,1.00
Cheatham County,2,100.00,0.00,0.00,100.00,0.00,0.00,1.90,93.30,2.70,0.40,0.50
Chelan County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,68.60,27.40,1.80,1.20
Chemung County,2,100.00,0.00,0.00,100.00,0.00,0.00,6.80,86.50,2.90,0.30,1.40
Cherokee County,1,100.00,0.00,0.00,100.00,0.00,0.00,6.60,80.10,10.10,0.50,1.90
Cherokee County,6,100.00,16.67,0.00,66.67,16.67,0.00,1.50,49.20,6.60,34.90,0.70
Cherokee County,1,100.00,0.00,0.00,100.00,0.00,0.00,20.70,73.20,4.10,0.50,0.70
Cherokee County,1,0.00,0.00,0.00,100.00,0.00,0.00,15.00,61.40,22.00,1.60,0.60
Chesapeake County,2,100.00,100.00,0.00,0.00,0.00,0.00,30.10,58.90,5.30,0.40,3.40
Chester County,1,100.00,100.00,0.00,0.00,0.00,0.00,6.40,80.60,7.10,0.30,4.80
Chester County,2,100.00,50.00,0.00,50.00,0.00,0.00,37.00,59.00,1.80,0.50,0.50
Chesterfield County,1,100.00,0.00,0.00,100.00,0.00,0.00,32.50,61.30,3.90,0.70,0.60
Chesterfield County,2,100.00,0.00,0.00,100.00,0.00,0.00,23.30,63.40,8.00,0.60,3.60
Cheyenne County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.40,89.90,6.60,1.00,1.50
Chickasaw County,1,100.00,100.00,0.00,0.00,0.00,0.00,0.60,96.20,2.30,0.10,0.30
Childress County,1,100.00,0.00,100.00,0.00,0.00,0.00,10.10,58.50,29.50,0.70,0.80
Chilton County,2,100.00,0.00,0.00,100.00,0.00,0.00,10.60,80.30,7.70,0.50,0.40
Chippewa County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,94.00,1.60,0.60,1.50
Chisago County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.30,94.00,1.90,0.70,1.00
Chittenden County,3,66.67,0.00,0.00,66.67,33.33,0.00,2.40,89.90,2.20,0.30,3.50
Choctaw County,2,100.00,0.00,0.00,100.00,0.00,0.00,11.20,61.90,3.70,17.10,0.40
Christian County,1,100.00,0.00,0.00,100.00,0.00,0.00,21.10,66.80,7.60,0.70,1.60
Christian County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.80,93.60,2.90,0.70,0.60
Cibola County,2,50.00,0.00,100.00,0.00,0.00,0.00,1.40,20.80,37.80,41.70,0.60
Citrus County,5,100.00,0.00,0.00,100.00,0.00,0.00,3.10,88.70,5.20,0.40,1.60
Clackamas County,10,90.00,12.50,0.00,87.50,0.00,0.00,1.00,83.10,8.40,1.10,4.20
Claiborne Parish County,1,100.00,100.00,0.00,0.00,0.00,0.00,50.90,45.60,1.40,0.50,0.70
Claiborne County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.20,95.70,1.10,0.30,0.60
Clallam County,1,100.00,0.00,0.00,0.00,0.00,0.00,1.00,83.50,5.80,5.60,1.70
Clark County,3,100.00,33.33,0.00,66.67,0.00,0.00,7.40,84.30,5.20,0.40,1.00
Clark County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,84.20,9.80,1.40,1.40
Clark County,70,94.20,21.88,31.25,42.19,0.00,4.69,11.60,45.30,30.30,1.20,9.90
Clark County,2,100.00,0.00,0.00,100.00,0.00,0.00,9.00,84.60,3.10,0.30,0.70
Clark County,13,91.67,18.18,18.18,54.55,0.00,9.09,2.20,80.00,8.70,1.10,4.60
Clark County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.50,93.60,4.20,0.70,0.50
Clarke County,7,85.71,0.00,0.00,71.43,0.00,28.57,27.70,56.00,10.80,0.40,4.40
Clatsop County,3,100.00,0.00,0.00,100.00,0.00,0.00,0.90,86.10,8.10,1.30,1.60
Clay County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,95.70,1.80,0.40,0.20
Clay County,5,100.00,25.00,0.00,75.00,0.00,0.00,10.90,74.80,9.20,0.50,3.20
Clay County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.60,96.50,1.30,0.30,0.40
Clay County,3,100.00,0.00,0.00,100.00,0.00,0.00,6.00,82.40,6.60,0.60,2.30
Clayton County,3,100.00,66.67,0.00,33.33,0.00,0.00,68.30,13.50,13.10,0.60,5.30
Clear Creek County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.90,90.70,5.50,1.20,0.80
Clearfield County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.00,93.00,2.90,0.20,0.70
Clearwater County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.50,91.30,3.60,2.20,0.60
Cleburne County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.60,92.30,2.50,0.40,0.20
Cleveland County,3,100.00,0.00,33.33,66.67,0.00,0.00,20.90,73.50,3.10,0.30,1.00
Cleveland County,2,100.00,0.00,0.00,100.00,0.00,0.00,4.90,73.40,7.90,5.10,4.40
Clinton County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.20,91.50,2.90,0.30,0.60
Coahoma County,1,100.00,100.00,0.00,0.00,0.00,0.00,74.90,22.60,1.50,0.10,0.70
Coal County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,70.70,3.90,17.60,0.20
Cobb County,15,90.00,58.33,8.33,33.33,0.00,0.00,27.30,53.90,12.70,0.50,5.10
Cochise County,3,100.00,0.00,100.00,0.00,0.00,0.00,4.70,56.10,34.60,1.70,2.20
Cochran County,1,100.00,0.00,100.00,0.00,0.00,0.00,5.10,37.30,57.00,2.50,0.30
Cocke County,3,100.00,0.00,0.00,100.00,0.00,0.00,2.00,93.60,2.20,0.50,0.40
Coconino County,12,81.82,0.00,9.09,63.64,27.27,0.00,1.60,54.90,13.90,27.30,1.80
Coffee County,1,100.00,0.00,0.00,100.00,0.00,0.00,28.00,59.40,10.90,0.40,0.90
Coffee County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.80,89.20,4.00,0.40,1.10
Colbert County,3,100.00,33.33,0.00,66.67,0.00,0.00,16.30,78.80,2.60,0.60,0.50
Cole County,3,100.00,0.00,0.00,100.00,0.00,0.00,11.80,82.30,2.70,0.40,1.30
Colfax County,1,100.00,0.00,100.00,0.00,0.00,0.00,0.90,47.50,49.00,2.60,0.50
Colleton County,1,100.00,100.00,0.00,0.00,0.00,0.00,38.30,56.50,3.10,0.80,0.40
Collier County,3,100.00,0.00,66.67,33.33,0.00,0.00,7.20,64.30,26.70,0.50,1.40
Collin County,7,100.00,20.00,20.00,60.00,0.00,0.00,9.60,60.40,15.10,0.70,12.90
Colonial Heights County,1,100.00,100.00,0.00,0.00,0.00,0.00,13.90,75.80,5.30,0.60,3.30
Colquitt County,1,0.00,0.00,100.00,0.00,0.00,0.00,23.20,57.10,18.30,1.40,1.00
Columbia County,1,100.00,100.00,0.00,0.00,0.00,0.00,36.20,59.40,2.70,0.50,0.90
Columbia County,1,100.00,0.00,0.00,0.00,0.00,0.00,16.90,70.50,6.20,0.40,4.20
Columbia County,1,100.00,0.00,0.00,0.00,0.00,0.00,2.10,93.40,2.60,0.20,1.20
Columbia County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.50,93.50,2.90,0.70,0.60
Comanche County,7,100.00,42.86,0.00,57.14,0.00,0.00,17.80,57.20,12.60,6.30,2.70
